Order_ID,Order_Date,Region,State,Category,Product,Quantity,Cost_Price,Selling_Price,Discount_Percentage,Final_Price,Profit
100001,22-08-2023,North,Punjab,Clothing,Jacket,8,2929.94,3925.49,20,3140.39,1683.6
100002,14-09-2023,North,Delhi,Furniture,Sofa,6,2289.68,2635.07,0,2635.07,2072.34
100003,12-08-2024,East,West Bengal,Furniture,Sofa,4,2384.19,3809.6,30,2666.72,1130.12
100004,09-01-2024,East,Bihar,Furniture,Table,6,3763.24,5353.25,0,5353.25,9540.06
100005,20-09-2024,West,Rajasthan,Office Supplies,Printer,1,1366.84,1854.9,20,1483.92,117.08
100006,04-07-2024,South,Kerala,Home Appliances,Microwave,4,2139.98,3412.17,30,2388.52,994.16
100007,16-08-2024,North,Punjab,Electronics,Headphones,8,1855.91,2268.59,20,1814.87,-328.32
100008,08-06-2023,South,Karnataka,Office Supplies,Notebook,6,4059.04,6055.86,15,5147.48,6530.64
100009,18-11-2024,Central,Chhattisgarh,Electronics,Laptop,5,2065.14,3269.04,15,2778.68,3567.7
100010,05-06-2024,West,Gujarat,Furniture,Table,7,2386.27,2715.38,5,2579.61,1353.38
100011,28-01-2023,Central,Chhattisgarh,Home Appliances,Mixer,3,4678.63,6963.07,5,6614.92,5808.87
100012,25-06-2023,West,Maharashtra,Clothing,Jeans,1,3294.11,4663,10,4196.7,902.59
100013,01-01-2023,South,Kerala,Electronics,Headphones,5,1831.02,2731.56,30,1912.09,405.35
100014,04-10-2023,South,Kerala,Office Supplies,Notebook,5,3510.53,4283.61,5,4069.43,2794.5
100015,01-11-2024,East,Odisha,Electronics,Laptop,7,2782.22,3591.32,10,3232.19,3149.79
100016,16-02-2023,West,Maharashtra,Electronics,Mobile,1,1901.84,2644.02,5,2511.82,609.98
100017,01-08-2024,North,Haryana,Electronics,Laptop,1,568.35,828.94,5,787.49,219.14
100018,24-03-2024,South,Kerala,Furniture,Sofa,2,4023.48,6069.4,10,5462.46,2877.96
100019,12-03-2023,West,Rajasthan,Furniture,Table,8,336.81,393.92,0,393.92,456.88
100020,21-07-2024,South,Tamil Nadu,Furniture,Chair,7,4071.68,5830,30,4081,65.24
100021,12-12-2024,East,West Bengal,Furniture,Table,3,4253.79,6414.39,0,6414.39,6481.8
100022,10-06-2024,West,Rajasthan,Electronics,Mobile,5,2447.02,3750.26,0,3750.26,6516.2
100023,12-06-2024,West,Gujarat,Electronics,Laptop,7,1859.16,2097.68,20,1678.14,-1267.14
100024,25-02-2024,West,Rajasthan,Home Appliances,Fan,3,2824.38,4424.31,20,3539.45,2145.21
100025,25-08-2024,East,West Bengal,Home Appliances,Mixer,5,3322.82,4970.04,10,4473.04,5751.1
100026,07-06-2024,West,Gujarat,Furniture,Chair,2,4792.42,5322.89,10,4790.6,-3.64
